gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NODE_2_length_54278_cov_9516.841027_35	22221	23249	1029	-1	0.656	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_36	23417	23869	453	1	0.627	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_37	23870	24187	318	-1	0.588	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_38	24172	25521	1350	-1	0.627	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_39	25518	25682	165	-1	0.570	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_40	25660	26235	576	-1	0.608	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_41	26237	26434	198	-1	0.631	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_42	26492	26596	105	-1	0.610	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_43	26596	26997	402	-1	0.619	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_44	27045	27308	264	-1	0.568	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_45	27305	27682	378	-1	0.611	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_46	27669	27965	297	-1	0.579	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_47	27979	28224	246	-1	0.589	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_48	28229	28708	480	-1	0.608	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_49	28714	28884	171	-1	0.585	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_50	28884	29486	603	-1	0.647	11	AGGAG	GENOMAD.190097.PV	9.303e-16	78	0	0	0	1	NA	NA	NA	PF22653	NA
NODE_2_length_54278_cov_9516.841027_51	29486	29947	462	-1	0.632	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_52	29950	30126	177	-1	0.644	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_53	30123	30731	609	-1	0.627	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_54	31015	31155	141	-1	0.582	11	GGA/GAG/AGG	GENOMAD.122207.VV	4.441e-05	40	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_55	31173	31661	489	-1	0.613	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_56	31648	31845	198	-1	0.596	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_57	32203	32370	168	-1	0.554	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_58	32383	32646	264	-1	0.614	11	GGAG/GAGG	GENOMAD.029891.VV	2.28e-06	46	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_59	32643	32894	252	-1	0.635	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_60	32891	33028	138	-1	0.681	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_61	33028	33264	237	-1	0.646	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_62	33257	33445	189	-1	0.630	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_63	33442	33777	336	-1	0.628	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_64	33774	33938	165	-1	0.703	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_65	33942	34391	450	-1	0.638	11	GGAG/GAGG	GENOMAD.080564.VV	3.205e-08	54	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_66	34670	34909	240	-1	0.621	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_67	35323	35535	213	-1	0.620	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_68	35528	35626	99	-1	0.626	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_69	35638	35988	351	-1	0.655	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_70	36018	36377	360	-1	0.644	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_71	37098	37805	708	1	0.578	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_72	38173	38430	258	1	0.659	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_73	38490	38711	222	1	0.671	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_74	39008	39259	252	-1	0.671	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_75	39352	39534	183	-1	0.546	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_76	39999	40178	180	1	0.611	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_77	40184	40783	600	-1	0.628	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_78	40825	41220	396	1	0.563	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_79	41222	41563	342	-1	0.635	11	GGAG/GAGG	GENOMAD.225706.VP	1.402e-45	160	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_80	41607	41870	264	-1	0.621	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_81	41867	42307	441	-1	0.664	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_82	42762	42890	129	1	0.612	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_83	42952	43329	378	1	0.661	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_84	43326	43574	249	1	0.671	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_85	43571	43705	135	1	0.630	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_86	43702	43851	150	1	0.613	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_87	43999	44184	186	1	0.629	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_88	44230	44619	390	1	0.610	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_89	44693	44860	168	1	0.601	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_90	44811	45077	267	1	0.625	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_91	45079	45189	111	1	0.622	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_92	45189	45329	141	1	0.589	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_93	45329	45427	99	1	0.566	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_94	45640	45744	105	1	0.581	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_95	45776	46282	507	1	0.645	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_96	46279	46632	354	1	0.613	11	None	GENOMAD.089841.VV	6.721e-15	72	0	0	0	1246	Caudoviricetes	NA	NA	PF18818	NA
NODE_2_length_54278_cov_9516.841027_97	46684	46902	219	1	0.630	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_98	46923	48215	1293	1	0.647	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_99	48215	48322	108	1	0.620	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_100	48496	48615	120	1	0.592	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_101	48885	49454	570	-1	0.623	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_102	49775	51658	1884	1	0.633	11	AGxAG	GENOMAD.170868.VV	5.494e-25	114	0	0	0	1246	Caudoviricetes	NA	NA	PF06977;TIGR03866;COG3391	PQQ-dependent catabolism-associated beta-propeller protein
NODE_2_length_54278_cov_9516.841027_103	51668	52456	789	1	0.572	11	AGGA	GENOMAD.117008.VV	3.658e-24	105	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_104	52458	52856	399	1	0.579	11	GGA/GAG/AGG	GENOMAD.006703.VV	2.062e-07	51	0	0	1	1246	Caudoviricetes	NA	NA	PF16778	Phage tail assembly chaperone protein
NODE_2_length_54278_cov_9516.841027_105	52890	53303	414	1	0.606	11	GGAG/GAGG	GENOMAD.086450.VV	7.377e-31	119	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_106	53300	53629	330	1	0.639	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_107	53629	53838	210	1	0.552	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_108	53863	54276	414	1	0.659	11	AGxAG	GENOMAD.111217.VP	0.0002838	42	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_1	2	160	159	1	0.648	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_2	157	423	267	1	0.614	11	GGAG/GAGG	GENOMAD.029891.VV	2.374e-06	46	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_3	748	1371	624	1	0.603	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_4	1368	1544	177	1	0.621	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_5	1547	1882	336	1	0.637	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_6	1886	2104	219	1	0.607	11	None	GENOMAD.223967.VP	2.407e-21	88	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_7	2101	2466	366	1	0.612	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_8	2469	3068	600	1	0.637	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_9	3093	3572	480	1	0.615	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_10	3575	3823	249	1	0.631	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_11	3810	4187	378	1	0.579	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_12	4184	4357	174	1	0.609	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_13	4361	4546	186	1	0.613	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_14	4543	4809	267	1	0.588	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_15	4806	5027	222	1	0.599	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_16	5057	5458	402	1	0.637	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_17	5458	5562	105	1	0.638	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_18	5723	6298	576	1	0.616	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_19	6240	6824	585	-1	0.641	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_20	7391	7627	237	1	0.633	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_21	7612	8616	1005	1	0.570	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_22	8594	9121	528	1	0.608	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_23	9126	9383	258	-1	0.624	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_3_length_10214_cov_229.757752_24	9666	10214	549	1	0.654	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_4_length_6625_cov_338.147793_1	2	778	777	1	0.640	11	None	GENOMAD.168721.VV	3.708e-18	87	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_4_length_6625_cov_338.147793_2	808	1275	468	1	0.650	11	AGGAG	GENOMAD.119386.VV	1.014e-60	206	0	0	0	1246	Caudoviricetes	NA	NA	PF11071;TIGR03646;COG3613	YtoQ family protein
NODE_4_length_6625_cov_338.147793_3	1615	1902	288	1	0.618	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_4_length_6625_cov_338.147793_4	1902	2162	261	1	0.628	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_4_length_6625_cov_338.147793_5	2193	3278	1086	-1	0.598	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_4_length_6625_cov_338.147793_6	3286	3891	606	-1	0.604	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_4_length_6625_cov_338.147793_7	4079	5218	1140	1	0.634	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_4_length_6625_cov_338.147793_8	5202	5849	648	-1	0.606	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_4_length_6625_cov_338.147793_9	5980	6216	237	1	0.523	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_4_length_6625_cov_338.147793_10	6226	6612	387	-1	0.625	11	AGxAGG/AGGxGG	GENOMAD.216382.VP	2.479e-30	117	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_5_length_6026_cov_3.408977_1	1	150	150	-1	0.607	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_5_length_6026_cov_3.408977_2	147	365	219	-1	0.662	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_5_length_6026_cov_3.408977_3	615	989	375	-1	0.667	11	AGxAGG/AGGxGG	GENOMAD.108109.VV	3.801e-06	47	0	0	0	1	NA	NA	NA	NA	NA
NODE_5_length_6026_cov_3.408977_4	986	3142	2157	-1	0.684	11	AGGAG	GENOMAD.220503.VP	0.000451	46	0	0	0	1	NA	NA	NA	NA	NA
NODE_5_length_6026_cov_3.408977_5	3139	3630	492	-1	0.657	11	GGA/GAG/AGG	GENOMAD.211873.VP	2.577e-54	188	0	0	0	1246	Caudoviricetes	NA	NA	PF13392	HNH endonuclease
NODE_5_length_6026_cov_3.408977_6	3653	3853	201	-1	0.662	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_5_length_6026_cov_3.408977_7	3850	4068	219	-1	0.708	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_5_length_6026_cov_3.408977_8	4065	4232	168	-1	0.702	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_5_length_6026_cov_3.408977_9	4229	4720	492	-1	0.677	11	GGAG/GAGG	GENOMAD.135770.VV	1.04e-06	50	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_5_length_6026_cov_3.408977_10	4659	4895	237	-1	0.667	11	None	GENOMAD.099595.VV	2.235e-17	77	0	0	0	1	NA	NA	NA	NA	NA
NODE_5_length_6026_cov_3.408977_11	4989	5270	282	1	0.603	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_5_length_6026_cov_3.408977_12	5182	5805	624	-1	0.670	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_6_length_5550_cov_4.472247_1	3	512	510	1	0.704	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_6_length_5550_cov_4.472247_2	630	1001	372	1	0.659	11	GGAG/GAGG	GENOMAD.142246.VV	3.298e-33	125	0	0	0	1	NA	NA	NA	PF07439	NA
NODE_6_length_5550_cov_4.472247_3	998	1129	132	1	0.697	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_6_length_5550_cov_4.472247_4	1149	2126	978	-1	0.566	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_6_length_5550_cov_4.472247_5	2474	4510	2037	-1	0.565	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_6_length_5550_cov_4.472247_6	4709	5431	723	-1	0.668	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_7_length_5424_cov_966.394301_1	50	1249	1200	-1	0.616	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_7_length_5424_cov_966.394301_2	1442	1987	546	-1	0.621	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_7_length_5424_cov_966.394301_3	1991	3295	1305	-1	0.647	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_7_length_5424_cov_966.394301_4	3380	4672	1293	-1	0.651	11	None	GENOMAD.068126.VV	3.799e-07	55	0	0	1	1	NA	NA	NA	PF17182;PF16463;COG2755	OSK domain; Phage tail tube protein family
NODE_7_length_5424_cov_966.394301_5	4694	4966	273	-1	0.630	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_7_length_5424_cov_966.394301_6	4963	5316	354	-1	0.619	11	None	GENOMAD.089841.VV	8.125e-13	66	0	0	0	1246	Caudoviricetes	NA	NA	PF18818	NA
NODE_7_length_5424_cov_966.394301_7	5313	5423	111	-1	0.667	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_9_length_4132_cov_368.886191_1	250	342	93	-1	0.667	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_9_length_4132_cov_368.886191_2	424	612	189	-1	0.677	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_9_length_4132_cov_368.886191_3	699	1106	408	1	0.706	11	GGA/GAG/AGG	GENOMAD.195461.VP	5.252e-06	47	0	0	1	1246	Caudoviricetes	NA	NA	PF05766;COG4338	Bacteriophage Lambda NinG protein
NODE_9_length_4132_cov_368.886191_4	1479	1748	270	-1	0.667	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_9_length_4132_cov_368.886191_5	1899	2081	183	-1	0.563	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_9_length_4132_cov_368.886191_6	2525	2704	180	1	0.639	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_9_length_4132_cov_368.886191_7	2710	3309	600	-1	0.647	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_9_length_4132_cov_368.886191_8	3347	3688	342	-1	0.649	11	GGAG/GAGG	GENOMAD.225706.VP	7.691e-44	155	0	0	0	1	NA	NA	NA	NA	NA
NODE_9_length_4132_cov_368.886191_9	3730	3993	264	-1	0.625	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_10_length_4082_cov_3.244599_1	2	91	90	-1	0.611	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_10_length_4082_cov_3.244599_2	95	487	393	-1	0.628	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_10_length_4082_cov_3.244599_3	487	909	423	-1	0.589	11	AGGA	GENOMAD.054065.VV	1.311e-42	153	0	0	1	1246	Caudoviricetes	NA	NA	PF06199;TIGR02126;COG5437	phage major tail protein, TP901-1 family
NODE_10_length_4082_cov_3.244599_4	969	1469	501	-1	0.665	11	GGAG/GAGG	GENOMAD.088470.VV	3.701e-43	156	0	0	0	7757	Hiyaavirus	NA	NA	NA	NA
NODE_10_length_4082_cov_3.244599_5	1510	1926	417	-1	0.655	11	GGA/GAG/AGG	GENOMAD.092143.VV	2.337e-18	83	0	0	1	1246	Caudoviricetes	NA	NA	PF11367	NA
NODE_10_length_4082_cov_3.244599_6	1926	2303	378	-1	0.669	11	GGAG/GAGG	GENOMAD.220829.VP	6.399e-10	58	0	0	0	1246	Caudoviricetes	NA	NA	PF05354	Phage Head-Tail Attachment
NODE_10_length_4082_cov_3.244599_7	2306	2722	417	-1	0.650	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_10_length_4082_cov_3.244599_8	2724	3044	321	-1	0.657	11	None	GENOMAD.162363.VP	1.93e-15	73	0	0	1	1246	Caudoviricetes	NA	NA	PF23148	Podophage GP4 fiber-tail adaptor protein gp77
NODE_10_length_4082_cov_3.244599_9	3044	3748	705	-1	0.655	11	GGA/GAG/AGG	GENOMAD.080842.VV	3.365e-38	145	0	0	1	1246	Caudoviricetes	NA	NA	PF05135;TIGR02215	phage conserved hypothetical protein, phiE125 gp8 family
NODE_10_length_4082_cov_3.244599_10	3779	4081	303	-1	0.673	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_11_length_3975_cov_5.358163_1	2	82	81	-1	0.642	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_11_length_3975_cov_5.358163_2	181	324	144	-1	0.681	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_11_length_3975_cov_5.358163_3	417	2477	2061	1	0.646	11	GGA/GAG/AGG	GENOMAD.024815.VV	2.081e-11	70	0	0	0	1	NA	NA	NA	NA	NA
NODE_11_length_3975_cov_5.358163_4	2342	2980	639	-1	0.665	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_11_length_3975_cov_5.358163_5	3228	3800	573	1	0.640	11	None	GENOMAD.084020.VV	1.686e-26	109	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_11_length_3975_cov_5.358163_6	3800	3973	174	1	0.621	11	None	GENOMAD.083007.VV	2.165e-09	53	0	0	0	1246	Caudoviricetes	NA	NA	PF22262	NA
NODE_12_length_3874_cov_400.364231_1	2	151	150	1	0.593	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_12_length_3874_cov_400.364231_2	138	299	162	1	0.586	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_12_length_3874_cov_400.364231_3	296	463	168	1	0.595	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_12_length_3874_cov_400.364231_4	1758	2000	243	1	0.617	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_12_length_3874_cov_400.364231_5	2226	3437	1212	1	0.631	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_12_length_3874_cov_400.364231_6	3656	3874	219	1	0.671	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_13_length_3054_cov_3.961320_1	30	392	363	-1	0.669	11	None	GENOMAD.221055.VP	1.405e-07	51	0	0	0	1246	Caudoviricetes	NA	NA	TIGR02646	NA
NODE_13_length_3054_cov_3.961320_2	556	1185	630	-1	0.640	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_13_length_3054_cov_3.961320_3	1188	2339	1152	-1	0.656	11	GGA/GAG/AGG	GENOMAD.169158.VP	2.774e-104	344	0	0	0	1246	Caudoviricetes	NA	NA	PF13730;COG5529;TIGR04548	Pyocin large subunit
NODE_13_length_3054_cov_3.961320_4	2502	2741	240	-1	0.667	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_13_length_3054_cov_3.961320_5	2731	3054	324	-1	0.750	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
